Recipe ,Ingredients,Ingredient(s) at The Pantry,Preparation
Pasta Cobb Salad,"1 pouch Barilla Ready Pasta Elbows
2 slices bacon, crispy and cut in strips
1 cup iceberg salad, shredded
1 hard-boiled eggs, chopped
1-4 oz grilled chicken breast sliced
2 ripe plum tomatoes, diced
½ avocado, diced
3 green onions, chopped
¼ cup blue cheese, crumbled
4 oz Ranch style dressing","1 pouch Barilla Ready Pasta Elbows
1 cup iceberg salad, shredded
1 hard-boiled eggs, chopped
3 green onions, chopped","Tear corner of Ready Pasta pouch to vent, heat in microwave for one minute; pour on a plate and let cool down.
Toss pasta with all ingredients together in individual-sized serving bowls."
Pasta Salad with Tomato Basil Sauce and Cheese,"1 pouch Barilla Ready Pasta Elbows
1 cup of Barilla Tomato & Basil Sauce
2 leaves of basil, julienned
2 tbsp Parmigiano-Reggiano cheese, grated
","1 pouch Barilla Ready Pasta Elbows
2 leaves of basil, julienned","Tear corner of Ready Pasta pouch to vent, heat for 60 seconds in the microwave.
Warm sauce and basil in a bowl for 2 minutes in the microwave.
Combine pasta with sauce and top with cheese."
Esquite,"1 can of sweet corn
1 tbsp butter
Salt to taste
⅓ cup of Parmesan cheese or Cotija
Chile powder or Hot Cheetos powder
2 tbsp mayonnaise (adjust according to preference)",1 can of sweet corn,"Start by adding the butter to a frying pan.
Add the corn kernels and cook for 5 minutes over medium heat.
Serve in cups.
Add cheese, mayonnaise on top, and finish with chili powder or Hot Cheetos powder. 
Eat as is, or mix. Enjoy!"
Tuna Salad Sandwich,"1 canned tuna
2 medium sized tomatoes
¼ cup of cilantro
A pinch of sea salt
⅛ cup of white or red onion
¼ cup of cucumber
1 lemon or lime
2 slices of bread
Optional: ¼ cup of mayonnaise","1 canned tuna
2 medium sized tomatoes
¼ cup of cilantro
⅛ cup of white or red onion
¼ cup of cucumber
1 lemon or lime
2 slices of bread","Open the canned tuna. Drain the liquid from the canned tuna. Add the tuna to the bowl. 
Wash your tomatoes, cucumber, and onion. Chop the tomatoes, cucumber, and onion into small cubes.
Wash and drain your cilantro and roughly chop the cilantro.
Add the chopped tomatoes, cucumber, onion, and cilantro into the same bowl as the tuna.
Add lemon or lime juice to the bowl.
You may add mayonnaise if you want, and add the sea salt. 
Carefully mix your ingredients together.
Can be eaten right away or stored in an airtight container in the refrigerator. "
Tuna Noodle Casserole,"1 canned tuna
½ cup beans and legumes
Pasta noodles
4 cups spinach
¼ cup Alfredo sauce
Oil
Dash: basil, oregano","1 canned tuna
½ cup beans and legumes
Pasta noodles
4 cups spinach
Dash: basil, oregano","Preheat the oven to 400°F.
Cook pasta according to the packaging instructions on the stovetop.
Coat the casserole dish with oil.
Combine all ingredients in the casserole dish."
Tuna Melts on Pepper,"1 canned tuna
1 bell pepper, green
1 tbsp mayonnaise
⅓ cup mozzarella cheese, shredded
Dash: everything cheese, shredded","1 canned tuna
1 bell pepper, green","Preheat the oven to 425°F.
Slice peppers into quarters.
Mix tuna and mayonnaise.
Combine all ingredients into a casserole dish.
Bake for 10 minutes.
Remove from the oven, top with cheese.
Bake for another ~3 minutes.
No cheese? Use dairy-free cheese."
Arugula Chickpea Tuna Salad,"2 tbsp of olive oil
Arugula
Canned chickpeas 
Lemon juice
Canned tuna
Diced red onion
Sesame salad dressing
Spices:
Garlic powder
Onion powder
Smoked paprika
Cayenne pepper (optional for added spice)
Za'atar
Salt
Pepper
Dill seasoning
Optional: nutritional yeast for added Vitamin B12","Arugula
Canned chickpeas 
Canned tuna
Diced red onion
Garlic powder
Onion powder
Smoked paprika
Salt
Pepper","Prepare by opening and draining cans of tuna and chickpeas. Lightly mash tuna after draining, 
Dice red onions  
Drizzle olive oil in a bowl and toss in chickpeas to cover in oil
Mix in garlic powder, onion powder, smoked paprika, cayenne pepper, za'atar, salt and pepper
Add tuna and lightly mix it in the bowl
Top with arugula
Squeeze lemon juice and add dill seasoning 
Toss salad and your quick meal is ready!"
Spicy Rice Casserole,"3 tbsp canola oil
4 eggs, lightly beaten
½ tsp sesame oil
1 onion chopped
1 tsp ginger, finely chopped
1 clove garlic, finely chopped
½ hot pepper, deseeded and finely chopped
2 bell peppers, deseeded and finely chopped
1 lb broccoli, chopped
4 cups of rice, cooked
4 tbsp soy sauce
¼ cup oyster sauce
","4 eggs, lightly beaten
1 onion chopped
1 tsp ginger, finely chopped
1 clove garlic, finely chopped
½ hot pepper, deseeded and finely chopped
2 bell peppers, deseeded and finely chopped
1 lb broccoli, chopped
4 cups of rice, cooked","In a large skillet, heat 1 tbsp of canola oil and sesame oil over medium-high heat. Add eggs and stir until cooked through.
Set aside the eggs, wipe the skillet, and add remaining canola oil. Add onion, ginger, garlic, both hot pepper and bell peppers, broccoli, and cooked rice. Increase heat slightly and cook until rice is crispy (about 5 minutes).
In a small bowl, combine oyster sauce with soy sauce. Pour mixture over rice and continue cooking until the rice has absorbed the liquid. 
Add cooked eggs back into the skillet and mix. Serve."
Chicken Panang Curry,"2 chicken breasts 
Panang curry paste or panang curry sauce
Coconut milk (if not using panang curry sauce)
Salt (to taste)
Oil
¼ cup shallots
1 tbsp thai chilies
¼ teaspoon curry powder (optional)
Broccoli
Green beans
Chicken broth (optional: low-sodium chicken broth)
Bokchoy
","Salt (to taste)
Broccoli
Green beans
Chicken broth (optional: low-sodium chicken broth)
Bokchoy","Thoroughly wash bok choy and separate sprigs 
Rinse broccoli and green beans
Chop up chicken breast into bite-sized pieces
Chop up shallots
Heat up oil in a large pot and throw in shallots and thai chilis
Cook up for a few minutes until shallots starts to brown 
Add panang curry paste if not opting for panang curry sauce
Pour in coconut milk for the paste (if not using panang curry sauce)
Add chicken breast into pot and pour in a small amount of chicken broth and curry powder
Cover with lid and simmer for 10-12 minutes
Uncover and add broccoli, green beans, and bok choy
Cook for an additional 5 minutes
Serve with rice!"
Chili Stuffed Poblano Peppers,"1 lb of ground turkey
1 can of chili
¼ tsp of salt
1 ½ cups of shredded Mexican cheese
1 medium tomato
4 green onions
4 poblano peppers
1 tsp olive oil
","¼ tsp of salt
1 medium tomato
4 green onions
4 poblano peppers","Preheat the oven to 350°F or use a broiler.
Fully cook ground turkey until no longer pink. Add chili and a pinch of salt. Add cheese, tomatoes, and green onions.
Cut the top part of your pepper to remove the stem. Remove the seeds and the insides.
Cut the pepper in half and coat every side with oil.
Line a tray with aluminum foil and place the peppers (with the opening down) on the foil. Place it in the oven for about 5 minutes, or until the skin of the pepper begins to blister.
After cooking the peppers, carefully remove the peppers from the oven. Remove the foil and flip them back over on the tray or dish. Add your chili filling into the open side."
"Leek, Turnip, and Rice Soup","2 tbsp extra virgin olive oil
4 large leeks, white and light (Green parts only, cleaned and sliced)
1 lb turnips, cut in ½ inch dice
2 garlic cloves, minced
2 quarts canned vegetable stock or water
½ cup of rice
2 tbsp chopped fresh parsley
Salt and pepper to taste
1 bay leaf","4 large leeks, white and light (Green parts only, cleaned and sliced)
1 lb turnips, cut in ½ inch dice
2 garlic cloves, minced
2 quarts canned vegetable stock or water
½ cup of rice
2 tbsp chopped fresh parsley
Salt and pepper to taste","Heat oil on medium heat in a soup pot and add leeks.
Cook, stirring often until leeks start to soften and then add turnips. Continue to cook until turnips are translucent and leeks are thoroughly tender.
Stir in the garlic and cook until fragrant.
Add stock or water, salt, bay leaf, and rice.
Bring to a boil, reduce heat to low.
Cover and simmer for 30 minutes while tasting and adjusting for seasonings."
"Vegetable Hand Rolls (Temaki)","1 cup (180g) uncooked sushi rice/long grain rice
3 tbsp sushi seasoning
 10 sheets toasted sushi nori
½ English cucumber
1 medium red bell pepper
6 oz (170g) preserved daikon
2 medium persimmons
2 small avocados, pitted and sliced
Furikake for topping (optional)
","1 cup (180g) uncooked sushi rice/long grain rice
½ English cucumber
1 medium red bell pepper
6 oz (170g) preserved daikon
2 medium persimmons
2 small avocados, pitted and sliced","Cook the sushi rice. Mix in the sushi seasoning. While the rice is cooking, prepare the vegetables by cutting them into matchstick-size pieces. If you want to, add persimmons in the hand rolls, peel the persimmons, and cut it into matchstick-size pieces.
Cut the nori sheets in half. Spoon some rice onto the nori (about 2 to 3 tablespoons). Spread the rice so that you fill one half of the nori. Top the nori with the sliced vegetables. Roll the nori."
Eggplant Curry,"2 large eggplants
3 tbsp oil 
1 bunch scallions, finely chopped
1 cup mushrooms, halved
3 garlic cloves, crushed
1 fresh red chili, finely chopped
1 tsp chili powder
1 tbsp curry powder (cumin, coriander, turmeric)
1 tsp salt
14 oz. chopped tomatoes 
1 tbsp cilantro chopped (plus extra for garnish)
","2 large eggplants
1 bunch scallions, finely chopped
1 cup mushrooms, halved
3 garlic cloves, crushed
1 tsp salt
14 oz. chopped tomatoes 
1 tbsp cilantro chopped (plus extra for garnish)","Preheat the oven to 400°F. Brush each eggplant with 1 tbsp oil and prick with a fork. Bake for 30-35 minutes until soft. Meanwhile, heat the remaining oil in a saucepan and then add scallions, mushrooms, garlic, and chile (optional), and cook for 5 minutes.
Stir in chili, curry powder, and salt. Cook 3-4 minutes. Add tomatoes and simmer for 5 minutes. 
Once the eggplant is out of the oven and cool enough to touch, cut in half lengthwise and scoop soft flesh into a bowl and mash briefly. Add the mashed eggplant and chopped cilantro to the pan.
Bring to a boil and simmer for 5 minutes, or until the sauce thickens. Serve garnished with cilantro!"
Pear and Pomegranate Salad,"¼ cup pomegranate seeds
1 pear sliced or chopped per preference
3 cups packed baby spinach
¼ cup crumbled feta cheese
¼ cup pecan halves
Optional: orange poppyseed vinaigrette
Vinaigrette
⅓ cup fresh orange juice
¼ cup extra virgin olive oil
1 tbsp dijon mustard
1 tbsp apple cider vinegar
1 tbsp poppyseeds
1 tbsp honey
","¼ cup pomegranate seeds
1 pear sliced or chopped per preference
3 cups packed baby spinach","For the salad, add the spinach to a large bowl and layer the remaining ingredients on top. Top with desired dressing or use orange poppyseed vinaigrette.
Orange poppyseed vinaigrette directions: Add all ingredients to a medium sized jar. Tighten the lid and shake until thoroughly mixed. Drizzle over salad. Toss to combine. Serve immediately and enjoy!
"
Garlic Clove Spaghetti,"1 lbs whole-wheat spaghetti 
2 pork loin blade chops
40 cloves fresh garlic peeled
¼ cup half and half milk
4 tbsp oil
2 tbsp butter
½ tsp crushed red pepper
2 green onions chopped
Salt and ground pepper to taste","1 lbs whole-wheat spaghetti
40 cloves fresh garlic peeled
2 green onions chopped
Salt and ground pepper to taste","Saute garlic cloves in oil on low for 40 minutes. Stir often so they roast evenly without burning. Cook until tender and lightly caramelized. Remove garlic, set aside.
In the same pan, add oil and turn heat to medium-high. When oil begins to shimmer, add the pork chops, salt and pepper, brown on both sides. When the sides are brown, cook on low until cooked through. Remove, set aside. 
Cook spaghetti and make sure to reserve 1 cup of the water. Set aside. Add 1 tablespoon of the butter to the strained spaghetti to prevent the pasta from sticking together. 
In a blender, combine garlic and half and half and blend briefly until it has the consistency of hummus.
In a small pan on medium heat, add butter, the garlic mixture (you do not have to use all of it, just enough to taste), and ¾ cup of the water from the pasta. Heat and stir until emulsified.
Reheat the pan that you cooked the chops in with a little oil (without the pork chops). Heat should be at medium-high. Toss in the crushed red peppers for about 10 seconds, and then toss the pasta. Briskly toss and scrape the pan so that the pasta gets coated with the flavors from the pork and garlic. Add the remaining water from the pasta to help the process along, and then add the garlic and half and half mixture. Continue to toss until evenly coated."
Orzo with Garlicky Spinach,"¾ cup uncooked orzo
1 tbsp butter
4 cups spinach
2 tsp minced garlic
1 oz Parmesan cheese
¼ cup chicken broth
1 tbsp white balsamic vinegar
⅜ tsp salt
¼ tsp crushed red pepper","¾ cup uncooked orzo
4 cups spinach
2 tsp minced garlic
¼ cup chicken broth
⅜ tsp salt
¼ tsp crushed red pepper
","Cook pasta according to package directions, omitting salt and fat.
Melt butter over medium heat. Cook for 1 minute or until browned.
Add spinach and minced garlic. Cook for 1 minute.
Stir in orzo, Parmesan cheese, chicken broth, vinegar, salt, and crushed red pepper."
Udon With Chicken and Garlicky Peanut Dressing,"¼cup natural creamy peanut butter
¼cup soy sauce
¼ cup unseasoned rice vinegar
1 tablespoon honey
1 garlic clove, finely grated
¼cup vegetable oil
8 ounces dried udon noodles
Kosher salt
8 ounces shredded rotisserie chicken (about 2 cups)
1½ cups thinly sliced celery hearts and leaves
1½ cups mung bean sprouts
1 small daikon (Japanese white radish), peeled, cut into matchsticks
2 teaspoons black and/or white sesame seeds
Chili oil (for serving)","¼cup natural creamy peanut butter
1 garlic clove, finely grated
1½ cups thinly sliced celery hearts and leaves
1½ cups mung bean sprouts
1 small daikon (Japanese white radish), peeled, cut into matchsticks","Whisk peanut butter, soy sauce, vinegar, honey, and garlic in a small bowl until smooth. Gradually add `vegetable oil, whisking constantly until emulsified; set aside.
Cook noodles in a large saucepan of boiling salted water according to package instructions until al dente. Drain; rinse under cold water, then drain again.
Toss noodles, chicken, celery, bean sprouts, and daikon in a large bowl with three-quarters of reserved dressing to combine and evenly coat; season with salt. Top with sesame seeds and drizzle remaining dressing and chili oil over.
Do Ahead: Dressing can be made 1 day ahead. Cover and chill.
"
Roasted Tomato Avocado Toast,"3 tomatoes
4 sliced bread of your choice
2 ripe avocados
Juice from 1 lime
Flat leaf parsley for garnish
Italian seasoning 
Olive oil
Red pepper flakes (optional)
Balsamic vinegar
Sea salt","3 tomatoes
4 sliced bread of your choice
2 ripe avocados
Flat leaf parsley for garnish
Sea salt","Preheat the oven to 375°F. Slice tomatoes and place on a baking pan. Sprinkle with the Italian seasoning, sea salt, and drizzle with a bit of olive oil. Roast the tomatoes for 15-20 minutes.
While the tomatoes are roasting, cut the avocados in half, remove the pit, and scoop the flesh into a medium bowl. Add the lime juice and mash the avocados until the desired texture is achieved. 
Toast the bread in a toaster or in the oven. Spread the avocado mash over the toast, place slices of tomato over the avocado mush, drizzle with balsamic glaze, and finally garnish with flat leaf parsley and red pepper flakes. Serve immediately and enjoy!"
"Corn Salad with Radishes, Jalapeno, and Lime","1.5 cans of corn
6 radishes
½ jalapeno (or whole)
3 tbsp lime juice
2 tbsp cilantro leaves
1.5 tbsp olive oil
","1.5 cans of corn
6 radishes
½ jalapeno (or whole)
2 tbsp cilantro leaves","Chop radishes, jalapeno, and cilantro leaves to your preference.
Combine all ingredients in a bowl (season with salt to taste)
Salad can be stored in fridge for 1 day"
Butternut Squash Soup,"2 tbsp butter
1 medium white or yellow onion, peeled and diced
1 medium butternut squash, peeled, seeded, and cubed
1 medium carrot, peeled and chopped
1 stalk celery, chopped
2 medium potatoes, cubed
23 oz vegetable broth or chicken stock
Salt and pepper to taste
","1 medium white or yellow onion, peeled and diced
1 medium butternut squash, peeled, seeded, and cubed
1 medium carrot, peeled and chopped
1 stalk celery, chopped
2 medium potatoes, cubed
23 oz vegetable broth or chicken stock
Salt and pepper to taste","Melt the butter in a large pot over medium-high heat. Saute chopped onions until lightly browned.
Season with salt and pepper. Add in all the chopped vegetables. 
Pour enough vegetable broth/chicken stock to cover vegetables and bring to boil.
Reduce heat to low, cover pot and simmer for 40 minutes. Puree using an immersion blender, or transfer in batches to a food processor or blender. Blend until smooth. Return to pot and mix in any remaining stock to attain desired consistency. "
Butternut Squash Basmati Rice,"1 tbsp unsalted butter
1 tsp whole cumin seeds (can be substituted with cumin powder)
1 tsp mustard seeds (can be substituted with wasabi or mustard powders)
1 cup basmati rice (can be substituted with other rice)
2 cups water
¾ lb peeled butternut squash, cut into ¼ inch cubes
2 tsp salt
","1 cup basmati rice (can be substituted with other rice)
¾ lb peeled butternut squash, cut into ¼ inch cubes
2 tsp salt","In a medium saucepan, melt butter. Add cumin and mustard seeds and cook over high until mustard seeds begin to pop (about 30 seconds)
Add rice and diced squash. Stir to coat with butter. Add water and salt. Bring to a boil.
Cover and cook over very low heat until squash is tender and water is absorbed (about 15 minutes).
Remove from heat and let the rice stand, covered, for 5 minutes.
Fluff the rice with a fork and serve."
"Chicken, Sweet Potato, and Black Bean Skillet","1 sweet potato, peeled and diced
1 cup of cherry tomatoes, halved
½ cup of diced onion
½ cup of diced green chilis
1 lb boneless skinless chicken breasts, cut into bite-sized pieces
1 can of black beans (or other beans of choice), rinsed and drained
⅓ cup of salsa or red enchilada sauce
½ cup of shredded cheddar/jack cheese
2 tsp olive oil
½ lime, juiced
1 tbsp cilantro (optional)
1 tsp ground cumin, chili powder, and oregano (each)
¼ tsp of granulated garlic and pepper (each)","1 sweet potato, peeled and diced
½ cup of diced onion
½ cup of diced green chilis
1 can of black beans (or other beans of choice), rinsed and drained
1 tsp ground cumin
¼ tsp of granulated garlic and pepper (each)","Heat the oil in a large cast iron or non-stick skillet over medium-high heat. Meanwhile, combine all of the spices in a small bowl.
When the skillet is hot, add in the chicken and spread into an even layer, then sprinkle with half of the spice blend. 
Saute the chicken for approximately 3 minutes then add in the onion.
Continue to cook for several more minutes or until the onion has softened and the chicken is cooked through. 
Lower the heat to medium and add the remaining spice blend, sweet potato, cherry tomatoes, black beans, green chilis, and salsa/enchilada sauce. Stir mixture and cook until heated through, about 2-3 minutes.
Squeeze lime juice over everything, then top with shredded cheese.
Cover with a lid or lay a piece of foil on top of the skillet until the cheese has melted.
Garnish with cilantro and serve. "
Lima Bean Soup,"3 cans chicken broth
2 cans lima beans, rinsed and drained, or 3 cups of dried lima beans
3 medium carrots
2 medium potatoes
2 small onions
2 small sweet red peppers
¼ cup butter
Salt, pepper oregano
1 cup half and half cream
","3 cans chicken broth
2 cans lima beans, rinsed and drained, or 3 cups of dried lima beans
3 medium carrots
2 medium potatoes
2 small onions
2 small sweet red peppers
Salt, pepper oregano","In a large pot, combine all ingredients; bring to a boil over medium heat. Reduce heat; cover and simmer for 25-35 minutes.
Add cream; heat through but do not boil."
Okra and Chickpeas in Fresh Tomato Sauce Recipe,"2 tbsp extra-virgin olive oil, plus more for serving
1 medium-size yellow onion, chopped (about 1 3/4 cups)
2 garlic cloves, very finely chopped
5 ripe tomatoes, cored and chopped (about 4 cups)
1 tbsp ground cumin
1 tbsp harissa (or Sriracha chili sauce)
1 tsp lemon zest, plus 1 tbsp fresh juice (from 1 lemon)
1 pound fresh okra, stems trimmed, cut into 1/2-inch-thick slices
1 1/2 tsp kosher salt, divided
3/4 tsp black pepper, divided
1 (15.5-oz.) can chickpeas, drained and rinsed
1/4 cup chopped fresh flat-leaf parsley","1 medium-size yellow onion, chopped (about 1 3/4 cups)
2 garlic cloves, very finely chopped
5 ripe tomatoes, cored and chopped (about 4 cups)
1 tbsp ground cumin
1 pound fresh okra, stems trimmed, cut into 1/2-inch-thick slices
1 1/2 tsp kosher salt, divided
3/4 tsp black pepper, divided
1 (15.5-oz.) can chickpeas, drained and rinsed
1/4 cup chopped fresh flat-leaf parsley","Heat oil in a large skillet over medium-low. Add yellow onion, and cook, stirring often, until soft and translucent, about 6 minutes. Add garlic and cook, stirring often, until fragrant, 45 to 60 seconds. Add tomatoes, cumin, harissa, lemon zest, and lemon juice, and cook, stirring once or twice, until tomatoes start to break down, about 5 minutes.
Add okra, 1 teaspoon of the kosher salt, and 1/2 teaspoon of the black pepper. Reduce heat to low, and cover the skillet. Cook, stirring occasionally, until okra is just tender, about 10 minutes.
Add chickpeas, and stir to combine. Cover and cook just until chickpeas are heated through, about 3 minutes. Stir in chopped parsley and remaining 1/2 teaspoon salt and 1/4 teaspoon pepper. Serve immediately."
Creamy Tomato Basil Soup,"2 tbsp oil
2 tbsp unsalted butter
1 yellow onion, chopped
2 cloves garlic, minced
1 tsp kosher salt
½ tsp pepper
2 tbsp flour
4 cans vegetable broth
1 can tomatoes (whole peeled if possible)
3 ounces tomato paste
1 tsp sugar
1 cup heavy cream
5 basil leaves, chopped (or more if desired)
","1 yellow onion, chopped
2 cloves garlic, minced
1 tsp kosher salt
½ tsp pepper","Add the oil and butter to a pan on medium heat.
Add the onion and garlic and cook for 2-3 minutes or until translucent.
Add in the salt, pepper, and flour and whisk well until the flour is cooked for roughly 30 seconds and fully incorporated. Add in the broth slowly while whisking. Add in the tomatoes, tomato paste, and sugar. Add in chopped basil leaves.
Lower the heat to low and let cook for 20 minutes. Using a blender, pour soup contents and blend until completely smooth. 
Add in the cream, and let cook for an additional 5 minutes before serving. 
Serve with grilled cheese for a comforting dish!"
Cilantro Rice,"1 cup rice
2 dried bay leaves (or fresh)
1.5 cups of water
2 tbsp lime juice
Salt to taste
½ cup chopped fresh cilantro
1 tsp lemon juice (optional)
","1 cup rice
1.5 cups of water
Salt to taste
½ cup chopped fresh cilantro
","In a saucepan, add rice, bay leaves, and water, and bring to a boil. 
Once boiling, reduce the heat, cover, and simmer for 18 minutes.
Remove lid, fluff rice with fork, and cover. Let rest and absorb any steam for 10 minutes.
Remove bay leaves, add lime juice, lemon juice, salt, and cilantro. Stir to combine."
Moringa Leaves Stir-Fry (Thoran) with Grate Coconut,"250 grams moringa (drumstick) leaves
¼ cup grated coconut
Salt to taste
1 tbsp oil
½ tsp mustard seeds
¼ cup shallots
1 tbsp crushed dried chilies
1 sprig curry leaves (optional)
¼ tsp turmeric powder (optional)",,"Wash and drain the moringa leaves. Get rid of all the thick sprigs.
Crush the shallots with the flat surface of your knife. Finely chop shallots.
Take the moringa leaves, grated coconut, turmeric powder, and salt in a mixing bowl.
Combine well.
Heat the oil in a pan, splutter mustard seeds followed by the chopped shallots.
After the shallots are cooked to tender, add crushed chillies and curry leaves (optional). 
Saute for a couple of minutes on medium heat.
Add the mixed moringa leaves and combine well. 
Cook with the lid closed for 10 minutes. Add salt if required. Stir occasionally.
Open the lid, stir well, and cook for 2 minutes.
Switch off, and serve hot with some rice and curry."